Average Background H score for each TF. Number of replicates: 1000
TF_name	BG Z score
Ebf2	781.740562552
Tcf21	6.86861776405
REST	4.08362083884
SOX2	1665.19663816
ETV3	139.119072114
ZNF684	20438.3527004
KLF17	134.078109732
NFE2	14.1479758785
PLAGL2	1.79764823669
RFX7	52.8776857736
ATF7	0.424001456706
Hmx3	117.224919184
Zic2	163.672891891
MEIS2	635.287947707
Dmbx1	89.7747554485
JDP2	1075.6860081
TFAP2B	5013.15970416
SMAD3	73.9292597053
CREB3L4	119.049292696
Zfx	2006.71883127
NKX2-2	342.571510343
NR2C2(var.2)	277.939565021
Esrrg	43.8793450334
FOXA1	318.843164293
NEUROG1	0.431180283138
THRB(var.3)	3.44608805424
Pparg::Rxra	159.910245575
NR2F1	13119.9946587
JUND(var.2)	5069.09383247
TBX19	40550.7365228
HOXD9	1554.23324268
SREBF1(var.2)	102.502207071
LHX9	2738.81793674
GBX1	480.989077467
TBX3	1017.91290452
FOXB1	190.863468151
JUNB(var.2)	0.29559701363
PHOX2B	54.0343765805
RARA::RXRG	81.3055243028
ZNF140	3.64012408592
NR2F2	306.502287073
TBX18	1040.93729589
ATF2	54809.4777374
EBF3	5314.44139726
Arx	61.0413798192
CDX2	95.0275845945
TCF7L1	45.7121199766
HSF2	418.595017268
HOXD10	2.25779797841
Arnt	571.19744739
FEV	4.3103567502
Pax2	1820.21805962
FERD3L	7.36879971298
HOXA5	467.519323287
OSR2	571.244833344
MLX	5.11868425768
Hand1::Tcf3	748.894259462
TGIF2LX	19.3817373884
ARNT2	4.50512504308
TFEC	0.689978704508
ZNF740	97.0811404739
RUNX3	3155.05344513
HOXA10	301.516902042
JUN	13.974029479
PBX3	88.1065878196
ZNF682	90.6521772551
TBX4	94.1029980859
ETS1	356.008725571
Sox1	0.00261957778245
STAT3	320.006114693
HOXB7	271.105641921
VENTX	107.258780536
HOXC8	598.892681766
MEOX1	156.712037047
CEBPG	12.4556442147
HMBOX1	117.935539382
PRDM4	76.5184758012
SIX2	751.17978715
HNF4A	120.048145321
RARA	0.009104045739
NEUROD2	28.3358775927
Hmx2	551.530574258
FOXP1	613.541232996
Dlx1	908.025359871
RARA::RXRA	3516.35718553
ELF4	241.786128278
DMRTC2	83.4573179763
LMX1A	36.3783880725
NEUROG2	691.842910037
OTX1	315.009065744
TCF3	3183.76886882
IRF9	0.134275980772
PBX1	449.018359755
NFYB	52.762661185
NFE2L1	1.53894568301
BHLHE22	53.0768575826
RFX5	1.13670816124
TBX15	308.868455751
HNF1B	721.88141445
RARA(var.2)	4.01849592403
Foxj3	229.578405134
HSF4	3.50632793768
TEAD2	224.663009484
REL	322.627914354
NKX2-8	172.411028367
LBX1	2613.12062048
TEAD4	122.856016004
Npas2	1006.52666054
FOSB::JUNB	443.321120179
ETV4	2331.391006
PAX4	478.084509531
SOHLH2	10.2292510185
EOMES	4205.10787632
HLF	62.8432774401
KLF15	14.1326342516
RXRA::VDR	1583.87373963
MAF	657.876589334
Nobox	302.322579812
MSANTD3	1679.15390225
CTCFL	840.925771549
TP73	3.75404065914
CEBPG(var.2)	26.9600150428
RHOXF1	1885.42035823
NR1I3	508.245388401
ESX1	499.04850506
NFIX	1582.07148298
HOXC10	2516.56519643
ZBTB7B	0.672772501292
TCF12(var.2)	1173.57835447
POU2F3	148.425965763
OLIG1	5.39808020482
Hmx1	77.8329544192
NFATC3	1396.30608278
MXI1	110.759375546
ZNF148	16.145313
PRRX1	380.430045994
NFIX(var.2)	0.00762642584197
Rhox11	886.349124456
TBX20	131.862011424
NKX6-2	1172.08637838
ZBTB33	2742.68598103
Ptf1a(var.3)	298.647884248
SIX1	456.162227695
SNAI3	7.77699930444
NFAT5	1439.9161265
RORB	1809.98194129
JUND	590.741823685
TBX21	1137.34209378
PROP1	240.718817026
PAX3(var.2)	48.6589975828
HINFP	1028.5750305
ISL2	1032.3486914
XBP1	0.139730758556
HOXD4	103.124265052
