Chrm	count_A	count_C	count_G	count_T
1	65570891	47024412	47016562	65668756
2	71102632	47915465	47947042	71239379
3	58713343	38653197	38670110	58760485
4	57932980	35885806	35890822	57952068
5	53672554	35089383	35129186	53804137
6	50554433	33143287	33163423	50533923
7	45997757	31671670	31636979	46047257
8	42767293	28703983	28702621	42715025
9	35260078	24826212	24813259	35243882
10	38330752	27308648	27298423	38376915
11	38307244	27236798	27268038	38317436
12	38604831	26634995	26617050	38624517
13	29336945	18412698	18414776	29425459
14	25992966	18027132	18071947	26197495
15	23620876	17247582	17228387	23597921
16	21724083	17630040	17701988	21828642
17	21159933	17727956	17700340	21206981
18	22465380	14838685	14863671	22489493
19	14390632	13478255	13511145	14428951
20	16523053	13107828	13149412	16725227
21	10422924	7160212	7174721	10348785
22	9094775	8375984	8369235	9054551
