Chrm	count_A	count_C	count_G	count_T	total	frac_A	frac_C	frac_G	frac_T
1	65570891	47024412	47016562	65668756	225280621.0	0.29106316694679213	0.20873704889156888	0.20870220346205456	0.2914975806995845
2	71102632	47915465	47947042	71239379	238204518.0	0.2984940529129678	0.2011526288514813	0.20128519140850218	0.2990681268270487
3	58713343	38653197	38670110	58760485	194797135.0	0.3014076310721921	0.19842795429203822	0.19851477795091801	0.3016496366848517
4	57932980	35885806	35890822	57952068	187661676.0	0.308709701601514	0.19122607644194758	0.19125280539432035	0.30881141656221806
5	53672554	35089383	35129186	53804137	177695260.0	0.30204831575135993	0.19746943728268274	0.19769343312815435	0.302788813837803
6	50554433	33143287	33163423	50533923	167395066.0	0.30200670908663463	0.19799440803111842	0.19811469831494316	0.3018841845673038
7	45997757	31671670	31636979	46047257	155353663.0	0.2960841483345005	0.2038681894484844	0.20364488605588912	0.296402776161126
8	42767293	28703983	28702621	42715025	142888922.0	0.2993044695235366	0.20088319373002197	0.20087366185042674	0.29893867489601467
9	35260078	24826212	24813259	35243882	120143431.0	0.2934831950986983	0.20663811407217095	0.20653030126965494	0.2933483895594758
10	38330752	27308648	27298423	38376915	131314738.0	0.2918998475251118	0.20796331330303533	0.2078854469480798	0.2922513922237731
11	38307244	27236798	27268038	38317436	131129516.0	0.29213288638997187	0.20770913239701122	0.2079473701405258	0.29221061107249113
12	38604831	26634995	26617050	38624517	130481393.0	0.29586464485399844	0.20412868369668616	0.20399115450890382	0.29601551694041156
13	29336945	18412698	18414776	29425459	95589878.0	0.306904304240246	0.1926218380569541	0.19264357676029256	0.3078302809425073
14	25992966	18027132	18071947	26197495	88289540.0	0.29440595114664775	0.2041819676487158	0.2046895589217024	0.2967225222829341
15	23620876	17247582	17228387	23597921	81694766.0	0.28913573239196255	0.2111222400710469	0.2108872800982134	0.28885474743877715
16	21724083	17630040	17701988	21828642	78884753.0	0.2753901378128166	0.22349109719593088	0.22440316191393792	0.2767156030773146
17	21159933	17727956	17700340	21206981	77795210.0	0.2719953195061752	0.22787978848569213	0.2275248051904481	0.27260008681768455
18	22465380	14838685	14863671	22489493	74657229.0	0.3009136596805649	0.1987575108098373	0.19909218704058787	0.30123664246900994
19	14390632	13478255	13511145	14428951	55808983.0	0.257855119846925	0.24150690938052033	0.24209624102987148	0.2585417297426832
20	16523053	13107828	13149412	16725227	59505520.0	0.2776726091965922	0.22027919426634707	0.22097802019039578	0.281070176346665
21	10422924	7160212	7174721	10348785	35106642.0	0.2968932203769304	0.20395604911458065	0.20436933273196564	0.2947813977765233
22	9094775	8375984	8369235	9054551	34894545.0	0.2606360105856087	0.24003706023391336	0.23984364891417842	0.2594832802662995
